News Titles,Day,Date,Links
"Telangana

No mention of BCs in BJP’s manifesto: R. Krishnaiah
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Visakhapatnam

Jagan enacted stone-pelting drama to gain sympathy in elections, allege TDP leaders
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"Chennai

Environmental clean-up, economic fillip, and demand for rail infrastructure dominate voter expectations in Arakkonam
Serena Josephine M.",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/chennai/
"Hyderabad

Hyderabad’s GDP to reach US$ 201.4 billion by 2035, says report
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Hyderabad/
"Coimbatore

Activities continue in Coimbatore to create voter awareness
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"Telangana

Man held for posing as cop and promising police jobs to aspirants
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Madurai

Mechanised fishing boats to stay away from sea as ban period starts
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Madurai/
"Telangana

Tributes paid to confiscated Amedkar statue
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Lok Sabha Elections

Modi accuses INDIA alliance of trying to finish Sanatan dharma
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Andhra Pradesh

Minister Peddireddi suspects conspiracy behind attack on Jagan
K. Umashanker",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Coimbatore

BJP election manifesto akin to empty paper: AIADMK
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"Andhra Pradesh

BJP leader calls upon people to realise the ideals espoused by Ambedkar
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Bengaluru

Sandalwood producer Soundarya Jagadish found dead
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/bangalore/
"Telangana

Madiga community backs Telangana CM
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Madurai

Voters should decide on pro-poor government or pro-rich government: DMK MP
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Madurai/
"Hyderabad

Minister Sridhar Babu inaugurates medical rehabilitation facility
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Hyderabad/
"Telangana

Congress workers urged to ensure victory of Bhongir MP candidate
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Madurai

48 sovereigns, ₹60,000 stolen from locked house in Rajapalayam
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Madurai/
"Andhra Pradesh

Kadapa police develop AI tool to provide easy access to poll-related information
K. Umashanker",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Puducherry

No OP services at Jipmer on polling day
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/puducherry/
"Karnataka

Various institutions, organisations celebrate Ambedkar Jayanti in a simple manner in Dharwad
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Lok Sabha Elections

Lok Sabha election | Ram temple, dilution of Article 370 done, now UCC and simultaneous polls on BJP’s to-do list
Nistula Hebbar ",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Madurai

Modi to address public meeting at Agasthiarpatti on April 15
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Madurai/
"Coimbatore

Teenager murders stepmother over family dispute near Coimbatore
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"Manipur

After fresh killings, Kuki-Zo people in Churachandpur, Kangpokpi take to streets
Abhinay Lakshman",Sunday, 14th April 2024,https://www.thehindu.com/news/national/manipur/
"World

Iran-Israel tensions | British jets countered Iranian attack drones
Sriram Lakshman",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"News

Top news of the day: Air India suspends Tel Aviv flights amid Iran-Israel tensions; PM Modi says Congress disrespected country’s culture by boycotting Ram temple inauguration, and more
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/
"Karnataka

Yatnal garlands Ambedkar statue after some tension in Vijayapura
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Andhra Pradesh

Jagan to resume Memantha Siddham yatra at Gandhi Centre in Gannavaram Assembly on Monday
G.V.R. Subba Rao ",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Hyderabad

Micro artist expresses his admiration for Dr. Bhimrao Ambedkar through leaf art
P. Sridhar ",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Hyderabad/
"Puducherry

Coast Guard team rescues fisherman stranded in waters off the Pondy Marina
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/puducherry/
"Telangana

Maral’s unconventional journey in motorcycling and fashion 
Lavpreet Kaur",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Madurai

Water level in Mullaperiyar dam stands at 115.25 feet
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Madurai/
"Puducherry

Puducherry Lt. Governor, leaders pay tributes paid to Ambedkar
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/puducherry/
"Visakhapatnam

Tributes paid to fallen heroes on National Fire Service Day in Visakhapatnam
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"Telangana

SCR puts in place 468 drinking water coolers in 170 stations
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Cricket

IPL-17: MI vs CSK | Mumbai Indians win toss; elect to bowl against Chennai Super Kings
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/sport/cricket/
